date;ph;suhu;amonia;label
01/12/2024 09:36;376;3009;481;Bahaya
02/12/2024 09:36;322;1706;533;Bahaya
03/12/2024 09:36;745;3305;52;Bahaya
04/12/2024 09:36;52;2511;337;Waspada
05/12/2024 09:36;656;3153;134;Waspada
06/12/2024 09:36;935;214;63;Bahaya
07/12/2024 09:36;475;3291;99;Bahaya
08/12/2024 09:36;587;2278;322;Waspada
09/12/2024 09:36;829;1522;81;Bahaya
10/12/2024 09:36;46;3311;255;Bahaya
11/12/2024 09:36;354;1683;682;Bahaya
12/12/2024 09:36;503;2139;76;Bahaya
13/12/2024 09:36;413;340;596;Bahaya
14/12/2024 09:36;951;3401;472;Bahaya
15/12/2024 09:36;866;2647;412;Waspada
16/12/2024 09:36;743;2764;349;Waspada
17/12/2024 09:36;91;2397;93;Bahaya
18/12/2024 09:36;863;2086;831;Bahaya
19/12/2024 09:36;431;2157;965;Bahaya
20/12/2024 09:36;925;2845;124;Bahaya
21/12/2024 09:36;678;3005;731;Bahaya
22/12/2024 09:36;865;3083;938;Bahaya
23/12/2024 09:36;927;3079;181;Bahaya
24/12/2024 09:36;523;1682;66;Bahaya
25/12/2024 09:36;377;2489;741;Bahaya
26/12/2024 09:36;46;1615;574;Bahaya
27/12/2024 09:36;599;2599;842;Bahaya
28/12/2024 09:36;873;2383;14;Waspada
29/12/2024 09:36;903;3275;795;Bahaya
30/12/2024 09:36;305;2202;202;Bahaya
31/12/2024 09:36;658;1734;164;Bahaya
01/01/2025 09:36;592;1786;164;Bahaya
02/01/2025 09:36;455;3023;815;Bahaya
03/01/2025 09:36;384;2736;665;Bahaya
04/01/2025 09:36;536;1702;523;Bahaya
05/01/2025 09:36;96;1668;359;Bahaya
06/01/2025 09:36;526;2902;877;Bahaya
07/01/2025 09:36;663;1646;392;Bahaya
08/01/2025 09:36;792;3144;817;Bahaya
09/01/2025 09:36;555;2912;439;Waspada
10/01/2025 09:36;98;1663;377;Bahaya
11/01/2025 09:36;974;167;463;Bahaya
12/01/2025 09:36;476;3473;301;Bahaya
13/01/2025 09:36;648;2249;748;Bahaya
14/01/2025 09:36;511;2241;503;Bahaya
15/01/2025 09:36;499;3126;232;Bahaya
16/01/2025 09:36;326;3394;9;Bahaya
17/01/2025 09:36;727;3472;384;Bahaya
18/01/2025 09:36;652;3007;544;Bahaya
19/01/2025 09:36;336;2253;906;Bahaya
20/01/2025 09:36;495;1667;624;Bahaya
21/01/2025 09:36;936;3054;117;Bahaya
22/01/2025 09:36;468;2617;94;Bahaya
23/01/2025 09:36;401;2348;628;Bahaya
24/01/2025 09:36;643;3313;335;Bahaya
25/01/2025 09:36;99;1722;139;Bahaya
26/01/2025 09:36;469;2485;794;Bahaya
27/01/2025 09:36;77;1523;62;Bahaya
28/01/2025 09:36;833;2437;533;Bahaya
29/01/2025 09:36;466;1613;894;Bahaya
30/01/2025 09:36;81;1738;789;Bahaya
31/01/2025 09:36;557;1735;152;Bahaya
01/02/2025 09:36;743;2798;312;Waspada
02/02/2025 09:36;743;2992;248;Normal
03/02/2025 09:36;675;2667;744;Bahaya
04/02/2025 09:36;363;3424;34;Bahaya
05/02/2025 09:36;885;225;57;Bahaya
06/02/2025 09:36;525;2071;762;Bahaya
07/02/2025 09:36;431;3237;877;Bahaya
08/02/2025 09:36;329;1947;342;Bahaya
09/02/2025 09:36;714;3426;821;Bahaya
10/02/2025 09:36;774;1524;111;Bahaya
11/02/2025 09:36;312;344;846;Bahaya
12/02/2025 09:36;658;1586;127;Bahaya
13/02/2025 09:36;459;3282;397;Bahaya
14/02/2025 09:36;752;2555;797;Bahaya
15/02/2025 09:36;422;3486;15;Bahaya
16/02/2025 09:36;784;1648;229;Bahaya
17/02/2025 09:36;571;2608;722;Bahaya
18/02/2025 09:36;956;3439;72;Bahaya
19/02/2025 09:36;396;2546;641;Bahaya
20/02/2025 09:36;539;2759;694;Bahaya
21/02/2025 09:36;379;2891;543;Bahaya
22/02/2025 09:36;947;2409;252;Bahaya
23/02/2025 09:36;914;2755;346;Bahaya
24/02/2025 09:36;481;2669;182;Bahaya
25/02/2025 09:36;762;3302;908;Bahaya
26/02/2025 09:36;872;1591;583;Bahaya
27/02/2025 09:36;689;2062;401;Waspada
28/02/2025 09:36;671;3401;462;Bahaya
01/03/2025 09:36;469;3281;947;Bahaya
02/03/2025 09:36;365;2411;153;Bahaya
03/03/2025 09:36;928;274;586;Bahaya
04/03/2025 09:36;93;2055;506;Bahaya
05/03/2025 09:36;743;1876;611;Bahaya
06/03/2025 09:36;537;2427;18;Waspada
07/03/2025 09:36;544;2207;872;Bahaya
08/03/2025 09:36;808;2667;932;Bahaya
09/03/2025 09:36;928;1655;565;Bahaya
10/03/2025 09:36;921;3449;697;Bahaya
11/03/2025 09:36;846;3472;922;Bahaya
12/03/2025 09:36;749;2896;707;Bahaya
13/03/2025 09:36;359;2572;153;Bahaya
14/03/2025 09:36;413;2119;576;Bahaya
15/03/2025 09:36;929;3128;607;Bahaya
16/03/2025 09:36;725;2869;424;Waspada
17/03/2025 09:36;306;1825;736;Bahaya
18/03/2025 09:36;371;3322;934;Bahaya
19/03/2025 09:36;764;3145;926;Bahaya
20/03/2025 09:36;304;340;451;Bahaya
21/03/2025 09:36;413;2951;113;Bahaya
22/03/2025 09:36;684;2727;985;Bahaya
23/03/2025 09:36;784;2336;839;Bahaya
24/03/2025 09:36;756;3365;125;Bahaya
25/03/2025 09:36;457;3232;921;Bahaya
26/03/2025 09:36;799;159;87;Bahaya
27/03/2025 09:36;466;1553;519;Bahaya
28/03/2025 09:36;528;2253;591;Bahaya
29/03/2025 09:36;823;3121;399;Waspada
30/03/2025 09:36;755;3475;55;Bahaya
31/03/2025 09:36;894;1801;335;Waspada
01/04/2025 09:36;76;2688;803;Bahaya
02/04/2025 09:36;698;2262;5;Normal
03/04/2025 09:36;366;344;333;Bahaya
04/04/2025 09:36;557;3184;398;Waspada
05/04/2025 09:36;486;3177;537;Bahaya
06/04/2025 09:36;471;2437;92;Bahaya
07/04/2025 09:36;981;233;346;Bahaya
08/04/2025 09:36;575;2047;347;Waspada
09/04/2025 09:36;924;1613;738;Bahaya
10/04/2025 09:36;742;3229;452;Bahaya
11/04/2025 09:36;856;3126;225;Waspada
12/04/2025 09:36;652;3499;452;Bahaya
13/04/2025 09:36;704;3493;141;Bahaya
14/04/2025 09:36;645;2611;176;Normal
15/04/2025 09:36;437;3038;498;Bahaya
16/04/2025 09:36;806;339;419;Bahaya
17/04/2025 09:36;497;3199;915;Bahaya
18/04/2025 09:36;317;1995;362;Bahaya
19/04/2025 09:36;752;2401;581;Bahaya
20/04/2025 09:36;424;1758;632;Bahaya
21/04/2025 09:36;958;3408;13;Bahaya
22/04/2025 09:36;968;2712;664;Bahaya
23/04/2025 09:36;94;1957;178;Bahaya
24/04/2025 09:36;559;2843;961;Bahaya
25/04/2025 09:36;311;2736;149;Bahaya
26/04/2025 09:36;95;2216;415;Bahaya
27/04/2025 09:36;60;1727;85;Bahaya
28/04/2025 09:36;977;2843;997;Bahaya
29/04/2025 09:36;975;2541;502;Bahaya
30/04/2025 09:36;897;3045;595;Bahaya
01/05/2025 09:36;506;254;67;Waspada
02/05/2025 09:36;57;3204;75;Bahaya
03/05/2025 09:36;896;2604;21;Waspada
04/05/2025 09:36;522;2622;898;Bahaya
05/05/2025 09:36;419;3253;205;Bahaya
06/05/2025 09:36;69;2307;191;Normal
07/05/2025 09:36;955;1768;37;Bahaya
08/05/2025 09:36;787;1558;472;Bahaya
09/05/2025 09:36;699;301;565;Bahaya
10/05/2025 09:36;368;2741;66;Bahaya
11/05/2025 09:36;731;2908;776;Bahaya
12/05/2025 09:36;993;1926;453;Bahaya
13/05/2025 09:36;398;1773;524;Bahaya
14/05/2025 09:36;663;1529;441;Bahaya
15/05/2025 09:36;914;2201;401;Bahaya
16/05/2025 09:36;819;268;56;Bahaya
17/05/2025 09:36;788;2284;155;Normal
18/05/2025 09:36;792;2375;182;Normal
19/05/2025 09:36;552;3308;862;Bahaya
20/05/2025 09:36;506;2197;946;Bahaya
21/05/2025 09:36;867;2528;373;Waspada
22/05/2025 09:36;867;3067;271;Waspada
23/05/2025 09:36;907;2293;644;Bahaya
24/05/2025 09:36;939;2744;409;Bahaya
25/05/2025 09:36;658;3225;25;Bahaya
26/05/2025 09:36;651;3399;156;Bahaya
27/05/2025 09:36;859;1794;716;Bahaya
28/05/2025 09:36;755;3353;659;Bahaya
29/05/2025 09:36;791;2484;27;Normal
30/05/2025 09:36;857;2016;222;Normal
31/05/2025 09:36;923;2418;231;Bahaya
01/06/2025 09:36;537;346;672;Bahaya
02/06/2025 09:36;563;2485;2;Waspada
03/06/2025 09:36;366;2158;104;Bahaya
04/06/2025 09:36;705;2767;8;Bahaya
05/06/2025 09:36;325;198;179;Bahaya
06/06/2025 09:36;626;1652;653;Bahaya
07/06/2025 09:36;68;1758;238;Bahaya
08/06/2025 09:36;501;1756;99;Bahaya
09/06/2025 09:36;714;1804;243;Waspada
10/06/2025 09:36;321;1778;722;Bahaya
11/06/2025 09:36;326;2782;856;Bahaya
12/06/2025 09:36;876;1864;83;Bahaya
13/06/2025 09:36;552;2191;397;Waspada
14/06/2025 09:36;389;3294;668;Bahaya
15/06/2025 09:36;666;2448;205;Normal
16/06/2025 09:36;839;2835;293;Normal
17/06/2025 09:36;451;1845;896;Bahaya
18/06/2025 09:36;736;1885;13;Waspada
19/06/2025 09:36;36;1582;86;Bahaya
20/06/2025 09:36;725;2963;1;Bahaya
21/06/2025 09:36;629;3455;951;Bahaya
22/06/2025 09:36;747;1801;519;Bahaya
23/06/2025 09:36;878;2781;317;Waspada
24/06/2025 09:36;615;2175;812;Bahaya
25/06/2025 09:36;615;2256;656;Bahaya
26/06/2025 09:36;887;2204;932;Bahaya
27/06/2025 09:36;765;2068;777;Bahaya
28/06/2025 09:36;58;2524;1;Bahaya
29/06/2025 09:36;731;2085;342;Waspada
30/06/2025 09:36;58;2635;1;Bahaya
01/07/2025 09:36;58;2475;572;Bahaya
02/07/2025 09:36;686;2381;1;Bahaya
03/07/2025 09:36;363;2046;307;Bahaya
04/07/2025 09:36;391;2212;1;Bahaya
05/07/2025 09:36;566;2878;572;Bahaya
06/07/2025 09:36;498;275;316;Bahaya
07/07/2025 09:36;697;2011;355;Waspada
08/07/2025 09:36;514;255;398;Waspada
09/07/2025 09:36;438;2876;67;Bahaya
10/07/2025 09:36;87;1665;718;Bahaya
11/07/2025 09:36;616;2772;333;Waspada
12/07/2025 09:36;66;2169;489;Waspada
13/07/2025 09:36;436;2785;1;Bahaya
14/07/2025 09:36;568;2118;1;Bahaya
15/07/2025 09:36;667;1598;676;Bahaya
16/07/2025 09:36;477;1686;511;Bahaya
17/07/2025 09:36;706;2524;542;Bahaya
18/07/2025 09:36;56;263;765;Bahaya
19/07/2025 09:36;606;2048;243;Waspada
20/07/2025 09:36;56;2819;416;Waspada
21/07/2025 09:36;928;1669;155;Bahaya
22/07/2025 09:36;648;2467;658;Bahaya
23/07/2025 09:36;491;1894;783;Bahaya
24/07/2025 09:36;773;2174;355;Waspada
25/07/2025 09:36;467;2524;1;Bahaya
26/07/2025 09:36;681;207;211;Normal
27/07/2025 09:36;356;2308;179;Bahaya
28/07/2025 09:36;451;3003;583;Bahaya
29/07/2025 09:36;68;2212;1;Bahaya
30/07/2025 09:36;761;2918;1;Bahaya
31/07/2025 09:36;676;1935;361;Waspada
01/08/2025 09:36;633;2765;1;Bahaya
02/08/2025 09:36;605;3221;485;Bahaya
03/08/2025 09:36;428;150;441;Bahaya
04/08/2025 09:36;542;2102;924;Bahaya
05/08/2025 09:36;581;2789;786;Bahaya
06/08/2025 09:36;809;2398;165;Normal
07/08/2025 09:36;702;2686;1;Bahaya
08/08/2025 09:36;386;2198;1;Bahaya
09/08/2025 09:36;699;2543;321;Waspada
10/08/2025 09:36;592;2422;657;Bahaya
11/08/2025 09:36;548;3084;704;Bahaya
12/08/2025 09:36;742;2627;598;Bahaya
13/08/2025 09:36;805;2669;339;Waspada
14/08/2025 09:36;79;2294;311;Waspada
15/08/2025 09:36;524;2256;489;Waspada
16/08/2025 09:36;604;2284;1;Bahaya
17/08/2025 09:36;70;2697;728;Bahaya
18/08/2025 09:36;796;229;384;Waspada
19/08/2025 09:36;578;2645;855;Bahaya
20/08/2025 09:36;622;350;68;Bahaya
21/08/2025 09:36;484;2936;1;Bahaya
22/08/2025 09:36;471;2337;147;Bahaya
23/08/2025 09:36;772;3101;386;Waspada
24/08/2025 09:36;853;2296;227;Normal
25/08/2025 09:36;639;150;201;Bahaya
26/08/2025 09:36;801;1996;1;Bahaya
27/08/2025 09:36;704;1565;359;Bahaya
28/08/2025 09:36;553;2324;635;Bahaya
29/08/2025 09:36;704;2509;482;Waspada
30/08/2025 09:36;881;3338;695;Bahaya
31/08/2025 09:36;645;2663;525;Bahaya
01/09/2025 09:36;885;239;203;Waspada
02/09/2025 09:36;30;2915;1;Bahaya
03/09/2025 09:36;773;150;352;Bahaya
04/09/2025 09:36;663;2618;167;Normal
05/09/2025 09:36;605;2885;369;Waspada
06/09/2025 09:36;664;1761;1;Bahaya
07/09/2025 09:36;352;3072;903;Bahaya
08/09/2025 09:36;617;2669;39;Waspada
09/09/2025 09:36;704;2292;39;Waspada
10/09/2025 09:36;872;2816;398;Waspada
11/09/2025 09:36;572;350;1;Bahaya
12/09/2025 09:36;529;2591;65;Bahaya
13/09/2025 09:36;575;2624;673;Bahaya
14/09/2025 09:36;787;227;1;Bahaya
15/09/2025 09:36;699;2075;588;Bahaya
16/09/2025 09:36;571;2915;415;Waspada
17/09/2025 09:36;727;2072;434;Waspada
18/09/2025 09:36;665;2536;474;Waspada
19/09/2025 09:36;795;2261;485;Waspada
20/09/2025 09:36;545;2739;829;Bahaya
21/09/2025 09:36;601;2667;516;Bahaya
22/09/2025 09:36;591;3019;831;Bahaya
23/09/2025 09:36;43;2245;471;Bahaya
24/09/2025 09:36;694;2365;526;Bahaya
25/09/2025 09:36;689;2011;123;Normal
26/09/2025 09:36;651;2278;946;Bahaya
27/09/2025 09:36;615;2689;635;Bahaya
28/09/2025 09:36;438;2878;1;Bahaya
29/09/2025 09:36;587;2039;66;Waspada
30/09/2025 09:36;599;2935;1;Bahaya
01/10/2025 09:36;53;3178;452;Waspada
02/10/2025 09:36;626;2707;1;Bahaya
03/10/2025 09:36;711;3438;24;Bahaya
04/10/2025 09:36;933;2113;765;Bahaya
05/10/2025 09:36;676;1878;238;Waspada
06/10/2025 09:36;689;1611;322;Bahaya
07/10/2025 09:36;639;3248;1;Bahaya
08/10/2025 09:36;362;2827;436;Bahaya
09/10/2025 09:36;646;2472;58;Bahaya
10/10/2025 09:36;659;264;915;Bahaya
11/10/2025 09:36;100;1937;704;Bahaya
12/10/2025 09:36;621;350;553;Bahaya
13/10/2025 09:36;695;2565;643;Bahaya
14/10/2025 09:36;645;2555;1;Bahaya
15/10/2025 09:36;475;2863;478;Bahaya
16/10/2025 09:36;821;2741;573;Bahaya
17/10/2025 09:36;763;2612;1;Bahaya
18/10/2025 09:36;769;2105;1;Bahaya
19/10/2025 09:36;514;2736;1;Bahaya
20/10/2025 09:36;86;3441;779;Bahaya
21/10/2025 09:36;44;3173;224;Bahaya
22/10/2025 09:36;738;3297;1;Bahaya
23/10/2025 09:36;979;2244;223;Bahaya
24/10/2025 09:36;501;2005;615;Bahaya
25/10/2025 09:36;565;2437;294;Waspada
26/10/2025 09:36;665;2528;476;Waspada
27/10/2025 09:36;574;3047;627;Bahaya
28/10/2025 09:36;417;1654;623;Bahaya
29/10/2025 09:36;66;3265;669;Bahaya
30/10/2025 09:36;491;2421;1;Bahaya
31/10/2025 09:36;721;2287;684;Bahaya
01/11/2025 09:36;512;1994;42;Waspada
02/11/2025 09:36;882;1673;978;Bahaya
03/11/2025 09:36;533;2912;1;Bahaya
04/11/2025 09:36;602;2537;211;Waspada
05/11/2025 09:36;772;1855;756;Bahaya
06/11/2025 09:36;465;1852;813;Bahaya
07/11/2025 09:36;684;2332;404;Waspada
08/11/2025 09:36;846;3335;1;Bahaya
09/11/2025 09:36;409;237;448;Bahaya
10/11/2025 09:36;678;1748;544;Bahaya
11/11/2025 09:36;689;2377;441;Waspada
12/11/2025 09:36;767;2364;503;Bahaya
13/11/2025 09:36;464;150;231;Bahaya
14/11/2025 09:36;452;2473;182;Bahaya
15/11/2025 09:36;728;2385;1;Bahaya
16/11/2025 09:36;695;2848;275;Normal
17/11/2025 09:36;688;3424;249;Bahaya
18/11/2025 09:36;702;3063;11;Normal
19/11/2025 09:36;548;2366;318;Waspada
20/11/2025 09:36;685;1947;197;Normal
21/11/2025 09:36;694;350;1;Bahaya
22/11/2025 09:36;543;253;1;Bahaya
23/11/2025 09:36;93;2507;308;Bahaya
24/11/2025 09:36;721;2488;1;Bahaya
25/11/2025 09:36;471;2599;99;Bahaya
26/11/2025 09:36;748;2428;397;Waspada
27/11/2025 09:36;504;2213;87;Waspada
28/11/2025 09:36;768;2227;1;Bahaya
29/11/2025 09:36;824;2484;188;Normal
30/11/2025 09:36;527;2228;157;Waspada
01/12/2025 09:36;795;2144;1;Bahaya
02/12/2025 09:36;712;2553;1;Bahaya
03/12/2025 09:36;773;2373;1;Bahaya
04/12/2025 09:36;935;3252;739;Bahaya
05/12/2025 09:36;613;150;755;Bahaya
06/12/2025 09:36;537;3046;905;Bahaya
07/12/2025 09:36;517;3123;847;Bahaya
08/12/2025 09:36;528;150;606;Bahaya
09/12/2025 09:36;638;2329;536;Bahaya
10/12/2025 09:36;701;2314;477;Waspada
11/12/2025 09:36;692;1796;294;Bahaya
12/12/2025 09:36;774;2111;409;Waspada
13/12/2025 09:36;652;1945;152;Normal
14/12/2025 09:36;868;3376;465;Bahaya
15/12/2025 09:36;61;2968;249;Waspada
16/12/2025 09:36;100;3136;23;Bahaya
17/12/2025 09:36;744;2861;565;Bahaya
18/12/2025 09:36;521;1935;1;Bahaya
19/12/2025 09:36;489;2238;947;Bahaya
20/12/2025 09:36;722;2745;166;Normal
21/12/2025 09:36;616;1889;249;Waspada
22/12/2025 09:36;757;2856;962;Bahaya
23/12/2025 09:36;721;238;25;Normal
24/12/2025 09:36;639;2313;425;Waspada
25/12/2025 09:36;523;2855;732;Bahaya
26/12/2025 09:36;423;2722;253;Bahaya
27/12/2025 09:36;583;232;536;Bahaya
28/12/2025 09:36;778;308;196;Normal
29/12/2025 09:36;682;1959;327;Waspada
30/12/2025 09:36;463;2808;623;Bahaya
31/12/2025 09:36;676;2797;163;Normal
01/01/2026 09:36;708;2345;678;Bahaya
02/01/2026 09:36;517;2663;491;Waspada
03/01/2026 09:36;673;1874;733;Bahaya
04/01/2026 09:36;659;2962;582;Bahaya
05/01/2026 09:36;479;2408;1;Bahaya
06/01/2026 09:36;704;2239;543;Bahaya
07/01/2026 09:36;734;3025;369;Waspada
08/01/2026 09:36;812;2148;542;Bahaya
09/01/2026 09:36;808;1796;728;Bahaya
10/01/2026 09:36;443;1722;515;Bahaya
11/01/2026 09:36;509;2803;512;Bahaya
12/01/2026 09:36;727;186;305;Waspada
13/01/2026 09:36;727;3377;313;Bahaya
14/01/2026 09:36;727;150;187;Bahaya
15/01/2026 09:36;100;3348;1;Bahaya
16/01/2026 09:36;736;2606;208;Normal
17/01/2026 09:36;82;2452;307;Waspada
18/01/2026 09:36;793;2228;301;Waspada
19/01/2026 09:36;748;270;931;Bahaya
20/01/2026 09:36;603;2481;405;Waspada
21/01/2026 09:36;764;3052;1;Bahaya
22/01/2026 09:36;534;2557;311;Waspada
23/01/2026 09:36;614;2575;605;Bahaya
24/01/2026 09:36;577;2318;277;Waspada
25/01/2026 09:36;662;2472;1;Bahaya
26/01/2026 09:36;997;2654;217;Bahaya
27/01/2026 09:36;37;1645;618;Bahaya
28/01/2026 09:36;753;1826;776;Bahaya
29/01/2026 09:36;408;2872;665;Bahaya
30/01/2026 09:36;579;2585;437;Waspada
31/01/2026 09:36;813;2408;455;Waspada
01/02/2026 09:36;66;2509;513;Bahaya
02/02/2026 09:36;488;2674;449;Bahaya
03/02/2026 09:36;543;223;978;Bahaya
04/02/2026 09:36;752;2111;1;Bahaya
05/02/2026 09:36;54;2598;337;Waspada
06/02/2026 09:36;682;2011;191;Normal
07/02/2026 09:36;657;2704;468;Waspada
08/02/2026 09:36;552;1649;1;Bahaya
09/02/2026 09:36;972;3015;284;Bahaya
10/02/2026 09:36;745;2736;1;Bahaya
11/02/2026 09:36;346;2628;1;Bahaya
12/02/2026 09:36;678;2991;338;Waspada
13/02/2026 09:36;551;3333;741;Bahaya
14/02/2026 09:36;778;3007;1;Bahaya
15/02/2026 09:36;531;158;382;Bahaya
16/02/2026 09:36;633;186;432;Waspada
17/02/2026 09:36;726;2188;331;Waspada
18/02/2026 09:36;78;2513;245;Normal
19/02/2026 09:36;47;2759;316;Bahaya
20/02/2026 09:36;60;2137;211;Waspada
21/02/2026 09:36;579;2593;51;Bahaya
22/02/2026 09:36;552;2122;29;Waspada
23/02/2026 09:36;915;2194;586;Bahaya
24/02/2026 09:36;711;1797;168;Bahaya
25/02/2026 09:36;461;2038;628;Bahaya
26/02/2026 09:36;788;1824;892;Bahaya
27/02/2026 09:36;968;2012;123;Bahaya
28/02/2026 09:36;805;3027;647;Bahaya
01/03/2026 09:36;422;2025;1;Bahaya
02/03/2026 09:36;577;350;213;Bahaya
03/03/2026 09:36;84;2747;1;Bahaya
04/03/2026 09:36;544;2592;668;Bahaya
05/03/2026 09:36;717;2071;304;Waspada
06/03/2026 09:36;766;285;479;Waspada
07/03/2026 09:36;511;2212;736;Bahaya
08/03/2026 09:36;641;2561;525;Bahaya
09/03/2026 09:36;30;350;726;Bahaya
10/03/2026 09:36;496;2452;261;Bahaya
11/03/2026 09:36;612;3075;561;Bahaya
12/03/2026 09:36;463;2148;185;Bahaya
13/03/2026 09:36;895;2483;461;Waspada
14/03/2026 09:36;435;3385;264;Bahaya
15/03/2026 09:36;584;2187;298;Waspada
16/03/2026 09:36;67;3406;1;Bahaya
17/03/2026 09:36;866;2854;1;Bahaya
18/03/2026 09:36;435;2219;763;Bahaya
19/03/2026 09:36;824;2816;232;Normal
20/03/2026 09:36;652;2986;399;Waspada
21/03/2026 09:36;503;2811;1;Bahaya
22/03/2026 09:36;719;1715;55;Bahaya
23/03/2026 09:36;68;2136;1;Bahaya
24/03/2026 09:36;56;2376;656;Bahaya
25/03/2026 09:36;66;2463;57;Bahaya
26/03/2026 09:36;592;281;401;Waspada
27/03/2026 09:36;667;2589;547;Bahaya
28/03/2026 09:36;749;1832;447;Waspada
29/03/2026 09:36;888;269;817;Bahaya
30/03/2026 09:36;464;2805;973;Bahaya
31/03/2026 09:36;97;278;287;Bahaya
01/04/2026 09:36;357;304;196;Bahaya
02/04/2026 09:36;627;2917;138;Waspada
03/04/2026 09:36;738;273;71;Bahaya
04/04/2026 09:36;692;2465;23;Normal
05/04/2026 09:36;557;167;11;Bahaya
06/04/2026 09:36;619;2715;654;Bahaya
07/04/2026 09:36;576;2604;1;Bahaya
